chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
MSFT,2021-01-08,200.0000,put,buy,2020-12-28T16:33:29.699548Z,debit,2.00000,limit,,short_put_spread,0.02000000,2.00000
MSFT,2021-01-08,195.0000,put,sell,2020-12-28T16:33:29.699548Z,debit,2.00000,limit,,short_put_spread,0.02000000,2.00000
ZM,2021-02-05,320.0000,put,buy,2020-12-28T15:59:29.739843Z,credit,1.00000,limit,short_put_spread,,2.30000000,1.00000
ZM,2021-02-05,330.0000,put,sell,2020-12-28T15:59:29.739843Z,credit,1.00000,limit,short_put_spread,,2.30000000,1.00000
AMD,2020-12-31,90.0000,put,sell,2020-12-28T15:34:11.494511Z,credit,1.00000,limit,short_put,,0.76000000,1.00000
DKNG,2020-12-31,47.5000,put,sell,2020-12-28T15:22:27.595344Z,credit,1.00000,limit,short_put,,0.50000000,1.00000
HYLN,2020-12-31,19.0000,call,sell,2020-12-28T14:54:45.343571Z,credit,1.00000,limit,short_call,,0.20000000,1.00000
SRNE,2020-12-31,8.5000,call,sell,2020-12-28T14:54:24.868618Z,credit,1.00000,limit,short_call,,0.15000000,1.00000
INTC,2020-12-31,48.0000,call,sell,2020-12-24T16:04:42.525743Z,credit,1.00000,limit,short_call,,0.16000000,1.00000
INTC,2020-12-24,48.5000,call,buy,2020-12-24T16:03:23.058343Z,debit,1.00000,limit,,short_call,0.01000000,1.00000
BABA,2020-12-31,250.0000,put,sell,2020-12-24T15:17:14.952148Z,debit,2.00000,limit,,short_put_spread,4.90000000,2.00000
BABA,2020-12-31,255.0000,put,buy,2020-12-24T15:17:14.952148Z,debit,2.00000,limit,,short_put_spread,4.90000000,2.00000
BBY,2021-01-29,98.0000,put,sell,2020-12-21T17:31:29.930571Z,credit,1.00000,limit,custom,,1.70000000,1.00000
BBY,2021-01-29,97.5000,put,buy,2020-12-21T17:31:29.930571Z,credit,1.00000,limit,custom,,1.70000000,1.00000
BBY,2021-01-29,97.0000,put,sell,2020-12-21T17:31:29.930571Z,credit,1.00000,limit,custom,,1.70000000,1.00000
BBY,2021-01-29,90.0000,put,buy,2020-12-21T17:31:29.930571Z,credit,1.00000,limit,custom,,1.70000000,1.00000
SRNE,2020-12-24,8.0000,call,sell,2020-12-21T17:18:30.990105Z,credit,1.00000,limit,short_call,,0.10000000,1.00000
SRNE,2020-12-24,8.0000,call,sell,2020-12-21T17:18:17.654812Z,credit,1.00000,limit,,long_call,0.10000000,1.00000
HYLN,2020-12-24,19.0000,call,sell,2020-12-21T17:17:46.221294Z,credit,1.00000,limit,short_call,,0.05000000,1.00000
